"State","State_Abb","Breast_1999_1k","Breast_2000_1k","Breast_2001_1k","Breast_2002_1k","Breast_2003_1k","Breast_2004_1k","Breast_2005_1k","Breast_2006_1k","Breast_2007_1k","Breast_2008_1k","Breast_2009_1k","Breast_2010_1k","Breast_2011_1k","Prostate_1999_1k","Prostate_2000_1k","Prostate_2001_1k","Prostate_2002_1k","Prostate_2003_1k","Prostate_2004_1k","Prostate_2005_1k","Prostate_2006_1k","Prostate_2007_1k","Prostate_2008_1k","Prostate_2009_1k","Prostate_2010_1k","Prostate_2011_1k"
"North Carolina","NC",0.55661907062415,0.57612839306337,0.59272137348848,0.571904725318796,0.554306109716407,0.587290943531171,0.607403647076759,0.648332998792031,0.6669372495717,0.669149646961715,0.712995340691097,0.722448311357523,0.756438780349567,0.521723529972554,0.573614305120171,0.605090686169017,0.600364200835804,0.567781621091951,0.620175213828208,0.643707076976546,0.68795502477684,0.723051692463891,0.724359018194354,0.709978435159258,0.689061223471847,0.709475617570619
"North Dakota","ND",0.64775072280326,0.642341530963566,NA,0.630170849324257,0.613943273805177,0.62340935952464,0.624761657484563,0.653159914642953,0.646398424843336,0.608534081965484,0.680205873841419,0.651807616683029,0.640989233003643,0.853300012711601,0.864118396390987,NA,0.799208094314669,0.686967363641035,0.673444384041802,0.765400645316586,0.833015543312751,0.761343751436817,0.787037412675359,0.719422514679194,0.692376555480728,0.735650090198274
"Ohio","OH",0.762107622602856,0.733127522875088,0.728470006847411,0.718896223901631,0.698627404151555,0.712858703125012,0.717257468262263,0.709149940362232,0.725537496755911,0.738647541870853,0.746927570364502,0.710702445704791,0.747617572738972,0.693969888123877,0.686466112301509,0.714669959357998,0.721569983102704,0.667663547597183,0.670337306798257,0.677323580839773,0.739423794542133,0.762970125570945,0.735283780295309,0.710874946298409,0.662229778898227,0.69603989524729
"Oklahoma","OK",0.660383269843537,0.648779502899781,0.657804654967147,0.660125408355898,0.677144266540074,0.678949296953547,0.654968178603118,0.644395857609918,0.677144266540074,0.684364388193966,0.671471313812015,0.666314084059235,0.658062516454786,0.585603438428221,0.607521664877538,0.607779526365177,0.66244616174465,0.632018506203245,0.608037387852816,0.624540523061713,0.703703999766893,0.780288861595683,0.658578239430064,0.708087645056757,0.677144266540074,0.649553087362698
"Oregon","OR",0.726656506069282,0.701217231506718,0.715825923829775,0.710284695707236,0.661169264621097,0.685097295150242,0.69189789330063,0.718848411896614,0.729427120130551,0.731945860186251,0.766956346960473,0.73345710421967,0.763681984888063,0.723130269991303,0.680311689044413,0.699957861478868,0.663184256665657,0.622632541768896,0.677792948988713,0.667717988765916,0.701469105512288,0.719100285902184,0.782320661300239,0.69114227128392,0.667466114760346,0.69013477526164
"Pennsylvania","PA",0.821054852548355,0.794152969580774,0.80987180236125,0.777026480133389,0.753018113647787,0.771317650317595,0.762558897723498,0.780467418652499,0.775384214021996,0.814955006991752,0.825590635141726,0.811123052731835,0.834662200328469,0.849755407923652,0.861016661258919,0.874936821631679,0.881271276632766,0.792276094024896,0.74574522086876,0.761542256797398,0.868211350889784,0.900274641636029,0.810966646435512,0.784142966616093,0.785081404394032,0.8004092214337
"Rhode Island","RI",0.797025700998794,0.81029366748391,0.789444005864441,0.797025700998794,0.745849258841915,0.814084515051086,0.754378665868061,0.81029366748391,0.864313245316171,0.849149855047466,0.859574685857201,0.705097647494771,0.795130277215205,0.826404769644409,0.888953754502816,0.88990146639461,0.873790364234111,0.724999597222446,0.746796970733709,0.704149935602977,0.761960361002414,0.855783838290024,0.848202143155672,0.746796970733709,0.642548662636364,0.673823155065567
"South Carolina","SC",0.59162144835718,0.582723329336767,0.592449180359078,0.590793716355281,0.600105701376643,0.578377736326798,0.617488073416518,0.647907224486299,0.681637303563676,0.700261273606399,0.705641531618742,0.727369496668586,0.711021789631084,0.637974440463513,0.646665626483451,0.66818665853282,0.739371610696119,0.653080549498167,0.707503928623014,0.707090062622065,0.748890528717955,0.799796046834732,0.767721431761153,0.708538593625388,0.711228722631559,0.685155164571746
"South Dakota","SD",NA,NA,0.658715972690245,0.723181058985554,0.648167140387377,0.575497406745392,0.656371787734052,0.598939256307323,0.678641544817886,0.685674099686465,0.671608989949307,0.622381105869253,0.738418261200809,NA,NA,0.873208896181909,0.865004248835233,0.814604272277083,0.827497289536144,0.725525243941747,0.718492689073168,0.833357751926627,0.752483370937967,0.726697336419843,0.641134585518797,0.69739502446743
"Tennessee","TN",NA,NA,NA,NA,NA,0.576392901160298,0.643117059519781,0.645865423022003,0.660523361700516,0.68602206752668,0.70831434926692,0.697320895258035,0.709535844156796,NA,NA,NA,NA,NA,0.507378439882297,0.594104577063502,0.641895564629905,0.727705580643703,0.7445011353795,0.689686552196309,0.693045663143468,0.726484085753827
