"Type","County","State","lat","lon"
"Pizza Hut","Honolulu","HI",21.3489,-157.931
"Pizza Hut","Lakeville","MN",44.6983,-93.2855
"Pizza Hut","Branson West","MO",36.6964,-93.3675
"Pizza Hut","Harrison","OH",39.2581,-84.803
"Pizza Hut","Omaha","NE",41.2889,-96.0834
"Pizza Hut","Alpharetta","GA",34.0318,-84.2098
"Pizza Hut","Warsaw","MO",38.2534,-93.3637
"Pizza Hut","Jacksonville","FL",30.1785,-81.6277
"Pizza Hut","Dubuque","IA",42.4992,-90.6819
"Pizza Hut","Twin Falls","ID",42.5621,-114.46
"Pizza Hut","Bowling Green","OH",41.3569,-83.65
"Pizza Hut","Deadwood","SD",44.3695,-103.731
"Pizza Hut","Pryor","OK",36.3081,-95.3169
"Pizza Hut","Westminster","MD",39.5763,-76.9796
"Pizza Hut","Fairborn","OH",39.7823,-84.0026
"Pizza Hut","Canyon","TX",34.9827,-101.92
"Pizza Hut","Murphy","NC",35.08,-84.0356
"Pizza Hut","Logan","UT",41.7393,-111.83
"Pizza Hut","Dodge City","KS",37.7803,-100.016
"Pizza Hut","Seagoville","TX",32.6485,-96.5491
"Pizza Hut","Fayette","MO",39.1461,-92.684
"Pizza Hut","San Antonio","TX",29.4299,-98.4055
"Pizza Hut","Pendleton","OR",45.6669,-118.806
"Pizza Hut","Bloomington","IN",39.1361,-86.5297
"Pizza Hut","Yelm","WA",46.9386,-122.601
"Pizza Hut","Nevada","MO",37.8368,-94.3427
"Pizza Hut","Sacramento","CA",38.5834,-121.401
"Pizza Hut","Lancaster","SC",34.7346,-80.7896
"Pizza Hut","Marietta","GA",33.9538,-84.4117
"Pizza Hut","Waynesboro","GA",33.098,-82.0214
"Pizza Hut","Andrews","TX",32.3297,-102.55
"Pizza Hut","Shelby","MT",48.5119,-111.869
"Pizza Hut","Carthage","TX",32.1581,-94.355
"Pizza Hut","Berlin","MD",38.4008,-75.1773
"Pizza Hut","Norwalk","CA",33.9022,-118.1
"Pizza Hut","Buffalo","MN",45.1832,-93.8762
"Pizza Hut","Spring Lake","NC",35.1864,-78.9832
"Pizza Hut","Fulton","KY",36.5503,-88.9196
"Pizza Hut","Denison","TX",33.7559,-96.551
"Pizza Hut","Tacoma","WA",47.1572,-122.504
"Pizza Hut","Houston","TX",29.661,-95.4767
"Pizza Hut","Jacksonville","FL",30.1746,-81.6037
"Pizza Hut","Carrollton","OH",40.5945,-81.0945
"Pizza Hut","San Bernardino","CA",34.1358,-117.265
"Pizza Hut","Honolulu","HI",21.3137,-157.863
"Pizza Hut","Neligh","NE",42.1355,-98.0378
"Pizza Hut","Cheboygan","MI",45.6314,-84.4808
"Pizza Hut","Sikeston","MO",36.8817,-89.5704
"Pizza Hut","Hawthorne","NJ",40.9692,-74.152
"Pizza Hut","Ruston","LA",32.539,-92.6396
"Pizza Hut","Beeville","TX",28.4104,-97.7543
"Pizza Hut","Lee's Summit","MO",38.9094,-94.3938
"Pizza Hut","Oxford","MS",34.3693,-89.5446
"Pizza Hut","Nebraska City","NE",40.6639,-95.8594
"Pizza Hut","Fredericksburg","TX",30.2642,-98.8569
"Pizza Hut","McDonough","GA",33.43,-84.1801
"Pizza Hut","Troy","AL",31.7775,-85.9363
"Pizza Hut","Fairfax","VA",38.8527,-77.3265
"Pizza Hut","Rochester","MN",44.0312,-92.4795
"Pizza Hut","Montevallo","AL",33.1036,-86.8584
"Pizza Hut","Cedar Park","TX",30.5221,-97.8309
"Pizza Hut","Chiefland","FL",29.5123,-82.8767
"Pizza Hut","Atlantic","IA",41.4031,-95.0264
"Pizza Hut","Butler","MO",38.2568,-94.351
"Pizza Hut","St. Louis","MO",38.7708,-90.2205
"Pizza Hut","Greencastle","IN",39.6462,-86.8408
"Pizza Hut","Ord","NE",41.5789,-98.9735
"Pizza Hut","Sheboygan","WI",43.7564,-87.7229
"Pizza Hut","Los Angeles","CA",34.0319,-118.284
"Pizza Hut","Whitewater","WI",42.8348,-88.7571
"Pizza Hut","Cushing","OK",35.985,-96.7562
"Pizza Hut","Monticello","IN",40.7597,-86.767
"Pizza Hut","Hugo","OK",34.0103,-95.4981
"Pizza Hut","Fayetteville","TN",35.1399,-86.5698
"Pizza Hut","West Memphis","AR",35.1584,-90.1846
"Pizza Hut","Cooper City","FL",26.0295,-80.2943
"Pizza Hut","Inman","SC",35.0358,-82.0669
"Pizza Hut","Lake George","NY",43.4218,-73.7138
"Pizza Hut","Albuquerque","NM",35.0802,-106.71
"Pizza Hut","Columbia","MO",38.9648,-92.3352
"Pizza Hut","Blytheville","AR",35.9276,-89.9188
"Pizza Hut","Haysville","KS",37.565,-97.3525
"Pizza Hut","Greenville","SC",34.8911,-82.4047
"Pizza Hut","Richmond","VA",37.4947,-77.5568
"Pizza Hut","Phenix City","AL",32.4613,-85.0194
"Pizza Hut","Crete","NE",40.6226,-96.9683
"Pizza Hut","Peachtree City","GA",33.3762,-84.5688
"Pizza Hut","Suffolk","VA",36.7446,-76.5833
"Pizza Hut","Waycross","GA",31.215,-82.3524
"Pizza Hut","Eufaula","AL",31.8704,-85.1571
"Pizza Hut","Woodville","TX",30.7636,-94.4166
"Pizza Hut","Ashdown","AR",33.6612,-94.1177
"Pizza Hut","Tuscola","IL",39.791,-88.2657
"Pizza Hut","Lolo","MT",46.744,-114.082
"Pizza Hut","Palos Hills","IL",41.6897,-87.8096
"Pizza Hut","Aberdeen","MD",39.5201,-76.1855
"Pizza Hut","Gilbertsville","PA",40.3223,-75.6161
"Pizza Hut","Waco","TX",31.5465,-97.125
"Pizza Hut","Irving","TX",32.8374,-96.9598
"Pizza Hut","Inglewood","CA",33.9342,-118.326
"Pizza Hut","Clinton","TN",36.1587,-84.0937
"Pizza Hut","Cranston","RI",41.7711,-71.4533
"Pizza Hut","Syracuse","IN",41.4156,-85.7471
"Pizza Hut","Ozark","MO",37.0254,-93.2126
"Pizza Hut","Bridgeville","PA",40.37,-80.101
"Pizza Hut","Richmond","VA",37.6005,-77.6192
"Pizza Hut","Richmond","VA",37.5062,-77.6
"Pizza Hut","Tulsa","OK",36.1333,-95.8532
"Pizza Hut","Murray","KY",36.617,-88.3146
