"Type","County","State","lat","lon"
"Taco Bell","Buckeye Lake","OH",39.9467,-82.4817
"Taco Bell","Cleveland","OH",41.4645,-81.7612
"Taco Bell","Beltsville","MD",39.0312,-76.9114
"Taco Bell","Houston","TX",29.643,-95.24
"Taco Bell","Oklahoma City","OK",35.5794,-97.6385
"Taco Bell","Parker","CO",39.5195,-104.766
"Taco Bell","Fresno","CA",36.8686,-119.759
"Taco Bell","Brownsburg","IN",39.857,-86.3924
"Taco Bell","Alpharetta","GA",34.0396,-84.2832
"Taco Bell","Perry","MI",42.7751,-84.2265
"Taco Bell","Frederick","MD",39.4155,-77.4371
"Taco Bell","Dothan","AL",31.2164,-85.361
"Taco Bell","Gambrills","MD",39.0429,-76.6706
"Taco Bell","Colton","CA",34.0484,-117.314
"Taco Bell","Louisville","KY",38.2458,-85.7534
"Taco Bell","Canonsburg","PA",40.2621,-80.1748
"Taco Bell","Prosser","WA",46.2194,-119.787
"Taco Bell","Minneapolis","MN",44.9763,-93.2707
"Taco Bell","Crossett","AR",33.1353,-91.9615
"Taco Bell","Mount Pleasant","SC",32.8244,-79.8199
"Taco Bell","San Diego","CA",32.5768,-117.081
"Taco Bell","Longwood","FL",28.6977,-81.3617
"Taco Bell","Houston","TX",29.5848,-95.2132
"Taco Bell","Newark","OH",40.0783,-82.4284
"Taco Bell","Pineville","NC",35.0841,-80.879
"Taco Bell","Waupaca","WI",44.3432,-89.0972
"Taco Bell","Boone","NC",36.204,-81.667
"Taco Bell","Belleville","MI",42.2214,-83.4851
"Taco Bell","Naperville","IL",41.7913,-88.1298
"Taco Bell","Rockport","ME",44.186,-69.0819
"Taco Bell","Alpharetta","GA",34.0483,-84.2237
"Taco Bell","Clovis","CA",36.8502,-119.73
"Taco Bell","Tehachapi","CA",35.1243,-118.467
"Taco Bell","Rio Rancho","NM",35.2483,-106.654
"Taco Bell","Riverside","CA",33.904,-117.475
"Taco Bell","Durham","NH",43.1369,-70.929
"Taco Bell","Seekonk","MA",41.7953,-71.323
"Taco Bell","Bluffton","SC",32.254,-80.8465
"Taco Bell","Cape Coral","FL",26.6509,-81.9742
"Taco Bell","Martinez","CA",37.9954,-122.117
"Taco Bell","Hicksville","NY",40.764,-73.5202
"Taco Bell","Port Washington","NY",40.8379,-73.7032
"Taco Bell","Fairmont","WV",39.4323,-80.1873
"Taco Bell","Monaca","PA",40.6793,-80.3022
"Taco Bell","Winchester","KY",37.9869,-84.2067
"Taco Bell","Elkton","MD",39.6019,-75.8334
"Taco Bell","Payson","AZ",34.2406,-111.323
"Taco Bell","Somerset","OH",39.804,-82.2964
"Taco Bell","Corydon","IN",38.2357,-86.1278
"Taco Bell","Kingston","PA",41.26,-75.8987
"Taco Bell","Alliance","OH",40.9018,-81.1071
"Taco Bell","Niceville","FL",30.5226,-86.4951
"Taco Bell","Hot Springs","AR",34.4944,-93.0784
"Taco Bell","Snohomish","WA",47.9245,-122.098
"Taco Bell","Pittsburgh","PA",40.4052,-79.9909
"Taco Bell","Escalon","CA",37.8,-121
"Taco Bell","Edwards Afb","CA",34.9206,-117.928
"Taco Bell","Kansas City","MO",39.1005,-94.5832
"Taco Bell","Parowan","UT",37.8402,-112.842
"Taco Bell","Rockville","MD",39.0709,-77.1319
"Taco Bell","Kannapolis","NC",35.4804,-80.6115
"Taco Bell","Arlington","VA",38.8643,-77.0593
"Taco Bell","Savannah","TN",35.2253,-88.2428
"Taco Bell","Milwaukie","OR",45.4432,-122.63
"Taco Bell","Lynwood","CA",33.9309,-118.184
"Taco Bell","Norwalk","CA",33.917,-118.099
"Taco Bell","El Monte","CA",34.063,-118.036
"Taco Bell","Tampa","FL",28.0516,-82.504
"Taco Bell","Olympia","WA",47.0543,-122.941
"Taco Bell","Cherryville","NC",35.3857,-81.3656
"Taco Bell","Birmingham","AL",33.5564,-86.889
"Taco Bell","Waco","TX",31.4881,-97.212
"Taco Bell","Roseville","MN",44.9926,-93.1465
"Taco Bell","Arlington","TX",32.7515,-97.0972
"Taco Bell","Norman","OK",35.2316,-97.4235
"Taco Bell","Mansfield","TX",32.5853,-97.1379
"Taco Bell","Washington","DC",38.8703,-77.0084
"Taco Bell","Sonora","CA",37.9736,-120.37
"Taco Bell","Hampton","VA",37.0269,-76.3631
"Taco Bell","West Allis","WI",42.9938,-88.0468
"Taco Bell","Clinton","IA",41.8562,-90.1859
"Taco Bell","Batesville","AR",35.7685,-91.6408
"Taco Bell","Independence","MO",39.0804,-94.449
"Taco Bell","Leesburg","FL",28.8258,-81.8878
"Taco Bell","Pittsburg","KS",37.3982,-94.705
"Taco Bell","Redwood City","CA",37.4888,-122.224
"Taco Bell","Bend","OR",44.0609,-121.302
"Taco Bell","Bryan","OH",41.4625,-84.5512
"Taco Bell","Goldendale","WA",45.8137,-120.822
"Taco Bell","Columbus","IN",39.2225,-85.9133
"Taco Bell","Indiana","PA",40.6177,-79.1622
"Taco Bell","Clarksville","AR",35.4479,-93.4653
"Taco Bell","Henderson","NV",35.9947,-115.101
"Taco Bell","Goldsboro","NC",35.3989,-77.9685
"Taco Bell","Orcutt","CA",34.8649,-120.419
"Taco Bell","Trussville","AL",33.6393,-86.6147
"Taco Bell","San Angelo","TX",31.4283,-100.498
"Taco Bell","Paso Robles","CA",35.6404,-120.687
"Taco Bell","Ennis","TX",32.3331,-96.6156
"Taco Bell","Houma","LA",29.587,-90.7011
"Taco Bell","Hamilton","MT",46.2584,-114.157
"Taco Bell","Exeter","CA",36.2973,-119.157
"Taco Bell","Scottsdale","AZ",33.5891,-111.836
"Taco Bell","Massillon","OH",40.7994,-81.5117
"Taco Bell","Round Rock","TX",30.5169,-97.6878
"Taco Bell","Inman","SC",35.0357,-82.0666
"Taco Bell","Rolla","MO",37.9538,-91.7772
"Taco Bell","Las Vegas","NV",36.1224,-115.137
"Taco Bell","Sunnyvale","CA",37.4032,-121.998
"Taco Bell","Shelbyville","KY",38.2214,-85.2028
"Taco Bell","Healdsburg","CA",38.6042,-122.866
"Taco Bell","Jesup","GA",31.6077,-81.8851
"Taco Bell","Alpena","MI",45.045,-83.4527
"Taco Bell","Gastonia","NC",35.2326,-81.1694
"Taco Bell","Copperas Cove","TX",31.1195,-97.8818
"Taco Bell","Spruce Pine","NC",35.8863,-82.06
"Taco Bell","Seattle","WA",47.6942,-122.344
"Taco Bell","Beaver Dam","KY",37.4103,-86.8763
"Taco Bell","Granada Hills","CA",34.2719,-118.485
"Taco Bell","Wayne","NE",42.2391,-97.0165
"Taco Bell","Tucson","AZ",32.2077,-110.858
"Taco Bell","Bristol","TN",36.5703,-82.1966
"Taco Bell","Chicago","IL",41.9473,-87.6575
"Taco Bell","Norwalk","CA",33.8874,-118.097
"Taco Bell","Houston","TX",29.6129,-95.2212
"Taco Bell","Sumter","SC",33.9524,-80.3779
"Taco Bell","Canon City","CO",38.4434,-105.232
"Taco Bell","Athens","AL",34.7951,-86.9719
"Taco Bell","Glendale","CA",34.1427,-118.239
"Taco Bell","Norfolk","VA",36.8637,-76.2118
"Taco Bell","Butler","MO",38.2209,-94.3505
"Taco Bell","San Jose","CA",37.2599,-121.889
"Taco Bell","Clinton","TN",36.1153,-84.1203
"Taco Bell","Spring Hill","FL",28.4615,-82.5389
"Taco Bell","Mobile","AL",30.6842,-88.0603
"Taco Bell","Burbank","CA",34.1879,-118.319
"Taco Bell","Greensboro","NC",36.0889,-79.7738
"Taco Bell","Findlay","OH",41.0482,-83.633
"Taco Bell","Springfield","OH",39.9424,-83.8554
"Taco Bell","Troy","AL",31.7775,-85.9361
"Taco Bell","Olathe","KS",38.8837,-94.7999
"Taco Bell","Taft","CA",35.146,-119.469
"Taco Bell","Baytown","TX",29.7368,-94.9552
"Taco Bell","Saginaw","TX",32.8809,-97.3817
"Taco Bell","Jefferson","LA",29.9628,-90.1844
"Taco Bell","Madison","TN",36.2484,-86.7193
"Taco Bell","Hampton","VA",37.0559,-76.428
"Taco Bell","Anderson","IN",40.105,-85.6528
"Taco Bell","Gulf Breeze","FL",30.3578,-87.1639
"Taco Bell","Cave Junction","OR",42.4264,-123.33
"Taco Bell","Hazlehurst","GA",31.8608,-82.6044
"Taco Bell","Centralia","WA",46.729,-122.979
"Taco Bell","Cary","NC",35.769,-78.7817
"Taco Bell","Palm Bay","FL",27.9987,-80.6287
"Taco Bell","Paris","TN",36.2832,-88.3068
"Taco Bell","New Brunswick","NJ",40.4781,-74.4862
"Taco Bell","Shakopee","MN",44.7817,-93.5048
"Taco Bell","Atoka","TN",35.4496,-89.7824
"Taco Bell","Cincinnati","OH",39.2783,-84.5636
"Taco Bell","Louisville","KY",38.0873,-85.668
"Taco Bell","Huntsville","AL",34.6342,-86.5671
"Taco Bell","Knoxville","TN",35.8834,-84.1556
"Taco Bell","Jacksonville","FL",30.287,-81.5275
"Taco Bell","Wyoming","MI",42.9354,-85.6942
"Taco Bell","Conroe","TX",30.321,-95.4646
"Taco Bell","Rancho Cordova","CA",38.5976,-121.267
"Taco Bell","Thomasville","NC",35.8553,-80.0723
"Taco Bell","Mesa","AZ",33.3944,-111.874
"Taco Bell","Lynwood","CA",33.9289,-118.211
"Taco Bell","Pembroke Pines","FL",26.0079,-80.2972
"Taco Bell","Reston","VA",38.9514,-77.3344
"Taco Bell","Auburn","IN",41.3669,-85.0698
"Taco Bell","Jacksonville","FL",30.1742,-81.6038
"Taco Bell","Summerville","GA",34.4933,-85.3371
"Taco Bell","Greenwood","IN",39.6141,-86.081
"Taco Bell","Fort Myers","FL",26.4938,-81.9431
"Taco Bell","Glen Allen","VA",37.6476,-77.5907
"Taco Bell","Fountain Valley","CA",33.7022,-117.933
"Taco Bell","Bluffton","OH",40.8929,-83.8737
"Taco Bell","Stephens City","VA",39.0805,-78.2146
"Taco Bell","Scottsburg","IN",38.6856,-85.784
"Taco Bell","Winnemucca","NV",40.9663,-117.743
"Taco Bell","Richmond","VA",37.5058,-77.6034
"Taco Bell","Puyallup","WA",47.1551,-122.357
"Taco Bell","Edison","NJ",40.5968,-74.3659
"Taco Bell","Fallbrook","CA",33.372,-117.253
"Taco Bell","Foster City","CA",37.5635,-122.271
"Taco Bell","Brandon","MS",32.2794,-90.0025
"Taco Bell","Seymour","TN",35.8845,-83.7921
"Taco Bell","Brandon","FL",27.9227,-82.3313
"Taco Bell","Hampton","GA",33.4486,-84.3251
"Taco Bell","Corpus Christi","TX",27.8469,-97.5878
"Taco Bell","South Haven","MI",42.4047,-86.1311
"Taco Bell","Pocatello","ID",42.8587,-112.434
"Taco Bell","Corona","CA",33.8775,-117.584
"Taco Bell","Grapevine","TX",32.928,-97.0867
"Taco Bell","Somerset","NJ",40.5198,-74.4925
"Taco Bell","Lawrenceburg","TN",35.2526,-87.3261
"Taco Bell","Mesa","AZ",33.3947,-111.788
"Taco Bell","Metter","GA",32.385,-82.0618
"Taco Bell","Riverdale","UT",41.1753,-112.009
"Taco Bell","Roswell","GA",34.0365,-84.3438
